Name,Description,Location,Website
Econscious,"T-shirts, hoodies, hats, and bags, ready for your design or logo.",,http://www.econscious.net/
"Ecopartytime-Tulsai, LLC","Tableware, favors, decorations, place cards, and more.",,http://www.ecopartytime.com/
EcoPlanet - EcoChoices.com Natural Living Store,Organic and earth friendly clothing and household products.,,http://www.ecochoices.com/
EcoPlum,Sustainable Branded Promotional Products for Organizations and events.,,http://www.ecoplum.com/
ECOTEAS,"Organic, fair trade tea: yerba maté, rooibos, tulsi, green, black.",,http://www.ecoteas.com/
Egea SRI,We create and manage Sustainable ESG Investment Portfolios,,http://www.egeasri.com/
Envest Microfinance,,,http://envestmicrofinance.com/
Envirotecture,,,https://www.envirotectureinc.com/
Equal Exchange,"Fair trade organic coffee, tea, chocolate, cocoa, fruit and nuts",,http://www.equalexchange.coop/
FaeriesDance.com,Eco-fashion and organic lingerie boutique,,http://www.faeriesdance.com/
Fair Indigo,,,http://www.fairindigo.com/
Fair Planet Advisors,Values-Based Comprehensive Financial Planning and Investing.,,http://fairplanetadvisors.com/
Fair Trade Winds,"Fair Trade jewelry, accessories, decor, bath and body, more.",,http://www.fairtradewinds.net/
"FatTail Financial Advisory Group, Inc.",An independent financial advisory firm focused on social responsibility.,,http://www.fattailfinancial.com/
FilmTack Pte Ltd,Leading window films company focused on building a wide range of solar films.,,http://www.filmtack.com/
Fingerlakes Wealth Management,,,http://www.fingerlakeswm.com/
"First Affirmative Financial Network, LLC",Invest for a Sustainable Future,,https://www.firstaffirmative.com/
"Flame Engineering, Inc.",Sustainable Products Made in the USA. Natural Weed Control,,http://www.flameengineering.com/
Flatbush Food Cooperative,100% Organic. Supporting 275+ Local Producers. Community Owned Since 1976.,,http://www.flatbushfoodcoop.com/
Flowtoys,,,http://www.flowtoys.com/
"Food & Vine, Inc.","Grapeseed Oil—the Chef's Choice! 100% natural, non-GMO, and locally made.",,http://www.grapeseedoil.com/
Food Huggers,,,https://foodhuggers.com/
Forbright Bank,a bank for a brighter future,,https://www.forbrightbank.com/
Frey Vineyards,,,https://www.freywine.com/
Friends of the Earth,,,http://www.foe.org/
"Friends of the Third World, Inc.",Working for a sustainable democratic economy using a cooperative model...,,http://www.friendsofthethirdworld.org/
Gadget Salvation,,,https://www.gadgetsalvation.com/
Garuda Woven Art Rugs,"Natural dye, hand-knotted, Tibetan wool area rugs.",,http://www.garudarugs.com/
"Gibson Farms, Inc.",,,http://www.gibsonfarmsinc.com/
Glacier Park Boat Company,,,http://www.glacierparkboats.com/
Global Goods Partners,"We are a nonprofit social impact brand, verified fair trade since 2006.",,https://globalgoodspartners.org/
"Global Green Solutions, LLC",Green and renewable energy products to provide necessary living resources.,,https://globalgreensolutionsllc.com/
Going Beyond Sustainability,Environmental and social equity profitability opportunities for your org.,,http://goingbeyondsustainability.com/
GovernanceMetrics International,Sustainable investing,,https://www.msci.com/our-solutions/esg-investing
"Grain Place Foods, Inc.",How your food is produced does matter,,http://www.grainplacefoods.com/
Green Homes Carpet Cleaning,"Cleans carpets, floor tile, and upholstery without chemicals.",,http://www.greenhomescarpetcleaning.com/
Green Plate Catering,"Offering vegetarian, vegan and local, organic meals throughout the DC Metro",,http://www.greenplatecatering.com/
GreenBuyback,,,http://www.greenbuyback.com/
GreenMark Media,"Specializing in strategoc communications for green spaces, places & issues.®",,http://www.greenmarkpr.com/
Greenvest,Socially and Environmentally Responsible Investing for Everyone,,http://www.greenvest.eco/
"Gregory Wendt, CFP","Our group leads responsible investing within Perigon Wealth, a leading RIA",,http://www.gregwendt.com/
Griesinger Films,,,http://www.griesingerfilms.com/
Ground Floor Partners,Ground Floor Partners: Business Growth Consultants,,https://groundfloorpartners.com/
"Hansen's Advisory Services, Inc.",,,http://www.hansensadvisory.com/
Happsy,,,http://www.happsy.com/
Happy Cleaning LLC,Green cleaning company that makes its own non toxic cleaning products.,,http://www.happyhappycleaning.com/
Hemp Industries Association (HIA),Trade group of 250+ hemp businesses,,No website listed
"Herbaliz, LLC","Look and feel better with natural, organic body care products that work",,http://www.herbaliz.com/
Hidden Springs Nursery,Organic bareroot fruit trees shipped throughout the US,,http://www.hiddenspringsnursery.com/
Hill + House,Eco-conscious products for sustainable living at home and on the road,,https://www.hillandhouse.com/
"Home and Travel Solutions, LLC dba BedVoyage",Eco-luxury 100% bamboo linens for bed and bath,,http://www.bedvoyage.com/
Hook & Loom Rug Company,,,http://www.hookandloom.com/
Horizons Sustainable Financial Services,Offers a full range of investment services to further socially conscious values.,,http://horizonssfs.com/
"Hosfeld & Associates, Inc.",Collaborative strategic planning that engages head and heart,,http://www.hosfeld.com/
Hot Cherry,"Treat aches and pains with moist heat, weight and the subtle aroma of cherry pie",,https://www.hotcherrypillows.com/
Hype Visual,Creative Branding Agency for Social Good,,http://hypevisual.com/
Illuminated Funds Group,,,http://www.illuminatedfunds.com/
Ink Forest Eco-Friendly Screen Printing,Women Owned Business. We only water-based inks.,,http://www.inkforest.net/
Innerglow Inc (Gilasi),Sustainable Design with High-Tech Performance,,https://www.gilasi.com/
Insight Personal Finance,"We take a climate-conscious, science-based approach to wealth building. Our miss",,http://www.insightpersonalfinance.com/
"Invera Wealth Advisors, LLC",,,http://www.inverawealthadvisors.com/
JANGLY BIRD TOYS,Stainless steel bird toy platforms and eco-friendly pole refills.,,http://janglybirdtoys.com/
Jax Photography,"Documentary story tellers At Jax Photography, we believe in the power of story",,http://www.jaxphotography.com/
Jos. Klockner and Company,Creates beautiful eco-homes well-grounded in building science.,,http://www.klockner.net/
"Junk in the Trunk, LLC",Removing almost anything that clutters your space in the DC metro area.,,http://www.jitt.com/
Just Creations,Fair trade retailer of handcrafted gifts.,,http://www.justcreations.org/
Just Goods,"Fair trade, local-made, made in USA, organic, recycled and green products",,http://www.justgoods.net/
Kahl Consultants Web Services,Internet consultant for small business and nonprofits.,,http://www.kahl.net/
Kase Custom,A small team of artisans using fully handmade and sustainable practices.,,https://kasecustom.com/
Kasper Organics,Organic cotton GMO-free clothing and products for your home,,http://www.kasperorganics.com/
KOL Foods,"Kosher, 100% grass-fed beef, lamb, chicken, turkey, and duck.",,http://www.kolfoods.com/
Kusum Cosmetics,,,http://kusumcosmetics.com/
Leyla Company LLC,Handcrafted Jewelry with a Touch of Nature •🌿 Sustainable | Elegant | Unique,,http://naturae_jewellery/
LineSync Architecture,"Nontoxic homes, passive solar, and grid-free.",,http://www.linesync.com/
Live Life Every Day,"Live Life Every Day ® is an inspirational, eco-friendly USA made clothing brand.",,https://www.livelifeeveryday.com/
LongView Asset Management LLC,LongView Asset Management Making Money a Force for Good,,No website listed
Longwave Financial,Our clients want to leave the world better than they found it.,,http://longwavefinancial.com/
"Love & Carrots, LLC",We design and install sustainable landscapes and vegetable gardens in the DMV,,http://www.loveandcarrots.com/
LPL Financial,A leader in the financial advisor-mediated marketplace.,,https://www.lpl.com/
Lucia's Imports/ Lucia's World Emporium,"Fair trade jewelry, gifts, and accessories from Guatemala.",,http://www.luciasimports.com/
Lucky Sheep Outdoor Gear,Innovative organic and non-toxic outdoor gear from natural fibers,,https://www.lucky-sheep.com/
Lullaby Earth,Lullaby Earth: Healthier mattresses for babies and children.,,http://www.lullabyearth.com/
"Maggie's Organics/Clean Clothes, Inc.","On your body, and in your heart: Clothing made the Maggie's way feels good.",,http://www.organicclothes.com/
"Mark J. Guay, Law Office",We provide companies with strategic legal and sustainable business solutions.,,http://www.markjguaypc.com/
Mary Anne Mayer Redmond Wealth Management,,,http://www.dallasinvestmentadvisor.com/
Max Green Alchemy Ltd.,Plant-based personal care products blending nature’s wisdom with eco-stewardship,,http://www.maxgreenalchemy.com/
Mayan Hands,"Fair trade accessories, home decor, baskets, and more from Mayan women artisans.",,http://www.mayanhands.org/
Melange Collection,,,http://www.melangecollection.com/
"Mind Over Markets, LLC",Award-winning sustainability messaging and marketing and company since 2003.,,http://www.mindovermarkets.com/
Mira Fair Trade,Works directly with artisans in developing cities in India.,,http://www.shopmira.com/
Mirrors Decorated,Unique Handcrafted Papier-mache Wall Mirrors,,https://mirrorsdecoratedcom.wordpress.com/
Montfair Resort Farm,"Lakeside Vacation Cottages, Weddings and Events in the Blue Ridge Mountains.",,https://montfairresortfarm.com/
My Healthy Home,Environmental Consulting for Healthier Homes.,,http://www.myhealthyhome.info/
"NAIWBE Natural As I Wanna Be, LLC",Hair and skincare products for melanin rich skin and textured hair.,,https://naiwbe.com/
Natural Earth Paint,"Non-toxic art supplies, face paints and craft kits for children and fine artists",,https://naturalearthpaint.com/
Natural Investments - Carrie VanWinkle,Trusted Advisor for smart women who want to consciously invest their money.,,http://www.carriebvanwinkle.com/
Natural Investments - Diana Gisel Yañez,I help sensitive women align their money with their values & steward it well.,,https://naturalinvestments.com/advisors/diana-g-yanez/
Natural Investments - Michael Kramer,Network of 22+ investment advisors across 10 states with a focus on impact.,,http://www.naturalinvestments.com/
Natural Investments - Money with a Mission,,,http://www.naturalinvestments.com/
Naturepedic,,,http://www.naturepedic.com/
New Alternatives Fund,,,http://www.newalternativesfund.com/
New Society Publishers,Book to Build a New Society Tools for a World of Change,,http://www.newsociety.com/
"Newground Social Investment, SPC",Sound financial advice and comprehensive wealth planning for clients who care.,,http://www.newground.net/
Nomadics Tipi Makers,Hand crafting Native American Sioux style tipis since 1970. Made in the USA.,,http://tipi.com/
Northwest Wild Foods,"Wild and organic berries and mushrooms, wild seafood.",,http://www.nwwildfoods.com/
One Love Organics,Innovative plant-powered skin care crafted in small batches on St. Simons Island,,http://www.oneloveorganics.com/
OOLOOP,Conscious Style | High quality basics | Classics with a twist,,https://www.ooloop.co/
Organic Cotton Plus,"Organic and eco-friendly fabric, yarn, fiber, notions, and craft supplies.",,http://www.organiccottonplus.com/
P.L.A.Y. Pet Lifestyle and You,"Eco-friendly pet beds and toys that are better for people, pets and planet",,http://www.petplay.com/
Park + Coop,New products from upcycled textiles,,https://www.parkandcoop.com/
Passages International,"Biodegradable urns, caskets, and memorial products.",,http://www.passagesinternational.com/
Perfect Supplements,100% natural superfoods. Organic & grass-fed collagen & desiccated liver.,,http://www.perfectsupplements.com/
Pet Pick-Ups,Pet products using environmentally responsible materials.,,https://www.petpickups.com/
"Planet Media, LLC",Sustainability Focused Marketing and Creative Agency for Purpose Driven Brands,,https://planetmediallc.com/
Portfolio Resources Advisor Group,,,http://www.jmfs.com/
Prabhuji's Gifts,Manufacturer and wholesaler of aromatic and spiritual gifts.,,http://www.prabhujisgifts.com/
Prep U,,,http://www.prepuproducts.com/
Prior Unity Garden,"Organic Gardening coaching, training, speaking & designs by Pro Debby Ward",,http://www.priorunitygarden.com/
"Prospectus Enterprises, Inc.",Socially Responsible Supplier of Maintenance Repair and Operating Supplies (MRO),,http://www.prospectusei.com/
Purrfectplay,"Pet toys lovingly crafted using pasture raised wool, organic cotton, and hemp.",,http://www.purrfectplay.com/
Rainbow Investment Solutions,,,http://www.rainbowinvestmentsolutions.com/
Reach and Teach,"Books, toys, games, fair-trade gifts, and green lifestyle products.",,http://www.reachandteach.com/
Red Sequoia LLC,Helping sustainable and purpose-driven companies achieve their business goals.,,http://www.redsequoia.com/
Repackify,A marketplace for reusable packaging supplies,,https://www.repackify.com/
"Rivanna Natural Designs, Inc.","Elegant, planet-friendly trophies and plaques.",,http://www.rivannadesigns.com/
"Rivendell International, Inc","Strategy, Culture, Technology, Communications, Urbanism",,https://rivendell.tv/
Safe Sand Company,Most play sand contains carcinogenic dust. Not ours!,,http://www.safesand.com/
SAMINA Healthy Sleep & Organic Beds,"Luxury European beds crafted by hand. Orthopedic, organic, and hypo-allergenic.",,https://saminasleep.com/
"Seeds to Sew International, Inc.","Cloth gift wrapping bags, Maasai jewelry and other handicrafts made in Kenya.",,https://www.seedstosew.org/
Self-Help Credit Union,Creating and protecting ownership and economic opportunity for all.,,http://www.self-help.org/
SERRV,"Since 1949, SERRV has worked with artisans selling their crafts.",,http://www.serrv.org/
Shamans Market,Lifestyle products for living in harmony with our Earth.,,http://www.shamansmarket.com/
Signature Coffee,Small organic coffee roastery in Northern California.,,http://www.signaturecoffeecompany.com/
Social(k),ESG investment options for retirement plans.,,http://www.socialk.com/
Sonrisa Salon and Day Spa,"Reclaim, Rebalance and Renew your life. Come experience the Sonrisa difference.",,https://sonrisadayspa.com/
Stakeholders Capital,Impact and sustainable investing to create diversified portfolios.,,http://www.stakeholderscapital.com/
STAY VOCAL,Certified reuse clothing for all. Rescue a shirt and make yourself heard.,,http://www.stayvocal.com/
"Suite Sleep, Inc.",Sustainable & Organic Mattresses & Bedding Wholesale | Retail | Hospitality,,http://www.suitesleep.com/
SUPPLY Bulk Foods,"SUPPLY Bulk Foods is Boston’s first online, plastic free, dry bulk food store !",,https://supplybulkfoods.com/
Sustainable Investments Institute,,,http://www.siinstitute.org/
Sustainable Sources,,,https://sustainablesources.com/
Sustainable Threads,"Fair trade home decor, stationery, and apparel.",,http://www.sustainablethreads.com/
Sustainable Wealth Advisors,,,http://www.sustainablewealthadvisors.com/
"Sweetwater, LLC",Providing water filtration systems to health conscious consumers. Call now.,,https://cleanairpurewater.com/
Sympatico Clothing,"Everyday chic, good for life!",,http://www.sympaticoclothing.com/
Syracuse Cultural Workers,Tools for justice and liberation since 1982.,,http://www.syracuseculturalworkers.com/
Takoma Park Silver Spring Co-op,A natural food grocery store with a wide selection.,,http://www.tpss.coop/
Tangie,,,https://wastefreeproducts.com/
"Taos Herb Co., Inc.","Extracts, compounds, body care, pure essential oils, more.",,http://www.taosherb.com/
Tenfold Fair Trade Collection,"A carefully curated collection of unique, sustainable, fairly traded products.",,http://www.tenfoldfairtrade.com/
Terra Experience,"Latin American textiles, art, accessories, jewelry, doll clothes.",,http://www.terraexperience.com/
Texture Clothing,"Hemp and organic cotton basics, constructed for curves. Made in the USA.",,http://www.textureclothing.com/
The Ahimsa Alternative,"Natural skin and hair care, pet and animal care, gardening.",,http://www.neemresource.com/
"The Fehlig Group, LCC",,,http://www.fehliggroup.com/
The Good Home Company,We believe that scent can bring wellness into our lives.,,https://goodhomestore.com/
The Green Corner Store,"Eco-friendly, sustainable & Arkansas made basic goods & gifts plus a Tea Bar.",,http://www.thegreencornerstore.com/
"The Hastings Group, LLC",,,https://www.hastingsgroupmedia.com/
The Organic & Non-GMO Report,Media covering threats by GMO foods and the growing trend of organic foods.,,http://www.non-gmoreport.com/
The SamurAI,,,https://www.thesamurai.com/
The Super Salve Company,Providing pure herbal comfort to customers since 1990. Finest available salves.,,https://supersalve.com/
TRACE International Inc.,501(c)(6) non-profit compliance membership association,,http://www.traceinternational.org/
Traditional Medicinals,"Accessible herbal wellness, made with ethically sourced herbs.",,http://www.traditionalmedicinals.com/
Transformative Wealth Management,Transform your Relationship with your Money and Invest for a Greater Future.,,https://www.transformativewealthmgt.com/
Trash Nothing,Give and get free stuff in your local area.,,https://trashnothing.com/
Trees for a Change,We plant trees in U.S. National Forests as memorials and all-occasion gifts.,,http://www.treesforachange.com/
Turtle Tree Biodynamic Seed Initiative,"Pioneer of seed transparency with Open Pollinated, Biodynamic, and Organic seeds",,http://turtletreeseed.org/
US SIF: The Forum for Sustainable and Responsible Investment,"Leading voice advancing sustainable, responsible and impact investing.",,http://ussif.org/
Velasquez Family Coffee,"Shade-grown, fairly traded. Excellent coffee, carefully grown in Honduras.",,http://www.vfamilycoffee.com/
Verbio,Solutions for multicultural marketing and multilingual communications.,,http://www.verbiogroup.com/
Veris Wealth Partners,Achieve financial goals while aiming to build a more just and sustainable world.,,http://www.veriswp.com/
Vermont Businesses for Social Responsibility (VBSR),"A business association dedicated to the ""triple bottom line.""",,http://www.vbsr.org/
Village Bakery & Cafe,"Diverse menu highlights local, organic, seasonal ingredients.",,http://www.dellazona.com/
Vision Capital Investment Management,"Socially, environmentally responsible investment management with portfolio work.",,http://www.visioncapitalinvestment.com/
Washington Gardener Magazine,"Local garden magazine for the greater DC region. By gardeners, for gardeners.",,http://www.washingtongardener.com/
Washington Walks,"Walking tours of DC neighborhoods, historic districts and the National Mall.",,http://www.washingtonwalks.com/
We'Moon,"Creative work by women, celebrating earth-based spirituality.",,http://www.wemoon.ws/
"Wealth Management Group of North America, LLC",Firm that employs a tax-out approach to financial planning.,,https://wmgna.com/
Wheel Pad L3C,200 sq feet of universally designed and ADA accessible space to feel like home.,,https://www.wheelpad.com/
Winkaffe Global Travel,Crafting unforgettable journeys for sustainable explorers and adventure seekers.,,https://winkaffeglobaltravel.com/
"Wondercide, LLC",Wondercide makes plant-powered alternatives to conventional flea and tick care.,,http://www.wondercide.com/
WorldFinds,"Sustainably-sourced jewelry & accessories, empowering women in India.",,http://www.worldfinds.com/
"Xtreme Xcellence Professional Detailing, Inc.",Eco-friendly detail studio specializing in preserving your vehicle’s finish.,,http://www.experiencedetailing.com/
"Yaya Maria's, LLC",Proudly making the highest-quality liquid soap using 100% natural ingredients.,,https://yayamarias.com/
Your Best Path Financial Planning,"Leader in the field of Sustainable, Responsible, and Impact Investing (SRI).",,https://www.yourbestpathfp.com/
"Zevin Asset Management, LLC - Sonia Kowal",We are Investors on a Mission.,,http://www.zevin.com/
